<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBER;0;20260413;083510;317.87;2
SBER;0;20260413;083510;317.87;2
SBER;0;20260413;083510;317.87;2
SBER;0;20260413;083510;317.87;40
SBER;0;20260413;083510;317.87;2
SBER;0;20260413;083510;317.88;1
SBER;0;20260413;083511;317.87;1
SBER;0;20260413;083512;317.87;2
SBER;0;20260413;083513;317.86;6
SBER;0;20260413;083514;317.87;1
SBER;0;20260413;083518;317.87;19
SBER;0;20260413;083519;317.87;31
SBER;0;20260413;083519;317.87;100
SBER;0;20260413;083519;317.87;10
SBER;0;20260413;083519;317.88;359
SBER;0;20260413;083521;317.87;1
SBER;0;20260413;083521;317.87;8
SBER;0;20260413;083521;317.86;794
SBER;0;20260413;083521;317.86;7
SBER;0;20260413;083522;317.82;1
SBER;0;20260413;083529;317.84;4
SBER;0;20260413;083530;317.84;1
SBER;0;20260413;083531;317.82;1
SBER;0;20260413;083533;317.84;50
SBER;0;20260413;083537;317.82;2
SBER;0;20260413;083537;317.82;1
SBER;0;20260413;083537;317.82;15
SBER;0;20260413;083537;317.84;5
SBER;0;20260413;083537;317.84;1
SBER;0;20260413;083539;317.84;25
SBER;0;20260413;083541;317.82;1
SBER;0;20260413;083541;317.83;3
SBER;0;20260413;083541;317.83;6
SBER;0;20260413;083541;317.84;104
SBER;0;20260413;083541;317.84;1
SBER;0;20260413;083541;317.84;20
SBER;0;20260413;083542;317.88;1
SBER;0;20260413;083543;317.84;30
SBER;0;20260413;083544;317.88;16
SBER;0;20260413;083544;317.88;80
SBER;0;20260413;083545;317.88;2
SBER;0;20260413;083548;317.88;2
SBER;0;20260413;083548;317.88;1
SBER;0;20260413;083553;317.88;1
SBER;0;20260413;083555;317.88;2
SBER;0;20260413;083555;317.88;1
SBER;0;20260413;083557;317.88;7
SBER;0;20260413;083557;317.88;4
SBER;0;20260413;083601;317.88;13
SBER;0;20260413;083601;317.86;4
SBER;0;20260413;083603;317.86;1
SBER;0;20260413;083605;317.87;2
SBER;0;20260413;083608;317.88;1
SBER;0;20260413;083608;317.87;26
SBER;0;20260413;083612;317.87;1
SBER;0;20260413;083613;317.88;30
SBER;0;20260413;083618;317.84;1
SBER;0;20260413;083619;317.84;54
SBER;0;20260413;083619;317.82;10
SBER;0;20260413;083619;317.8;1
SBER;0;20260413;083619;317.8;149
SBER;0;20260413;083619;317.87;36
SBER;0;20260413;083619;317.87;36
SBER;0;20260413;083621;317.88;2
SBER;0;20260413;083622;317.88;500
SBER;0;20260413;083622;317.88;7
SBER;0;20260413;083622;317.87;10
SBER;0;20260413;083623;317.88;6
SBER;0;20260413;083626;317.88;5
SBER;0;20260413;083629;317.87;70
SBER;0;20260413;083630;317.88;1
SBER;0;20260413;083636;317.87;10
SBER;0;20260413;083638;317.88;1
SBER;0;20260413;083643;317.88;1
SBER;0;20260413;083643;317.88;2
SBER;0;20260413;083645;317.87;2
SBER;0;20260413;083646;317.88;3
SBER;0;20260413;083647;317.88;26
SBER;0;20260413;083653;317.88;100
SBER;0;20260413;083653;317.88;1
SBER;0;20260413;083655;317.88;1
SBER;0;20260413;083655;317.87;1
SBER;0;20260413;083655;317.88;218
SBER;0;20260413;083655;317.88;32
SBER;0;20260413;083703;317.87;28
SBER;0;20260413;083706;317.87;1
SBER;0;20260413;083706;317.88;3
SBER;0;20260413;083708;317.88;1
SBER;0;20260413;083709;317.88;4
SBER;0;20260413;083710;317.87;3
SBER;0;20260413;083715;317.88;3
SBER;0;20260413;083716;317.88;25
SBER;0;20260413;083717;317.88;1
SBER;0;20260413;083724;317.88;1
SBER;0;20260413;083729;317.88;1
SBER;0;20260413;083732;317.88;1
SBER;0;20260413;083734;317.88;1
SBER;0;20260413;083736;317.87;5
SBER;0;20260413;083741;317.88;50
SBER;0;20260413;083749;317.88;6
SBER;0;20260413;083751;317.88;1
SBER;0;20260413;083753;317.87;15
SBER;0;20260413;083756;317.88;1
SBER;0;20260413;083802;317.88;2
SBER;0;20260413;083802;317.87;4
SBER;0;20260413;083802;317.87;62
SBER;0;20260413;083803;317.87;4
SBER;0;20260413;083804;317.88;1
SBER;0;20260413;083805;317.87;60
SBER;0;20260413;083808;317.88;1
SBER;0;20260413;083810;317.88;10
SBER;0;20260413;083811;317.88;56
SBER;0;20260413;083811;317.88;26
SBER;0;20260413;083811;317.88;195
SBER;0;20260413;083811;317.88;2200
SBER;0;20260413;083811;317.88;100
SBER;0;20260413;083811;317.88;7
SBER;0;20260413;083811;317.88;28
SBER;0;20260413;083811;317.88;44
SBER;0;20260413;083811;317.88;1
SBER;0;20260413;083811;317.88;2
SBER;0;20260413;083811;317.88;2
SBER;0;20260413;083811;317.88;1
SBER;0;20260413;083811;317.88;1
SBER;0;20260413;083811;317.88;9
SBER;0;20260413;083811;317.88;15
SBER;0;20260413;083811;317.88;10
SBER;0;20260413;083811;317.88;1
SBER;0;20260413;083811;317.88;100
SBER;0;20260413;083811;317.88;603
SBER;0;20260413;083811;317.88;315
SBER;0;20260413;083811;317.88;527
SBER;0;20260413;083811;317.88;603
SBER;0;20260413;083811;317.88;154
SBER;0;20260413;083811;317.88;162
SBER;0;20260413;083815;317.88;3
SBER;0;20260413;083817;317.88;1
SBER;0;20260413;083817;317.88;1
SBER;0;20260413;083818;317.88;2
SBER;0;20260413;083822;317.88;1
SBER;0;20260413;083823;317.88;1
SBER;0;20260413;083824;317.88;20
SBER;0;20260413;083825;317.88;3
SBER;0;20260413;083826;317.88;19
SBER;0;20260413;083826;317.88;11
SBER;0;20260413;083828;317.88;1
SBER;0;20260413;083829;317.87;910
SBER;0;20260413;083829;317.87;10
SBER;0;20260413;083829;317.87;10
SBER;0;20260413;083834;317.87;4
SBER;0;20260413;083835;317.87;66
SBER;0;20260413;083835;317.88;13
SBER;0;20260413;083835;317.88;8
SBER;0;20260413;083835;317.88;8
SBER;0;20260413;083835;317.88;5
SBER;0;20260413;083835;317.88;4
SBER;0;20260413;083835;317.88;12
SBER;0;20260413;083835;317.88;30
SBER;0;20260413;083835;317.88;32
SBER;0;20260413;083835;317.88;1
SBER;0;20260413;083835;317.88;100
SBER;0;20260413;083836;317.89;4
